Instrument,TR.CompanyMarketCap,TR.PE,TR.Revenue
CAT.N,33439781896.99,18.89684736,22807000000.0
CAT.N,31244549834.88,15.946037382,30306000000.0
CAT.N,32566907751.12,15.415844467,30306000000.0
CAT.N,39962248963.75,17.425891761,30306000000.0
CAT.N,39295644640.61,16.026965918,30306000000.0
CAT.N,48086131448.96,17.817930083,36339000000.0
CAT.N,49587627549.04,16.861245622,36339000000.0
CAT.N,43808618323.4,13.542968051,36339000000.0
CAT.N,39897279290.42,12.130958174,36339000000.0
CAT.N,43288522037.28,12.955811463,41517000000.0
CAT.N,50142998891.7,15.060878263,41517000000.0
CAT.N,50128940845.83,15.936651657,41517000000.0
CAT.N,45276433883.04,13.979789417,41517000000.0
CAT.N,48130295699.68,14.576130446,44958000000.0
CAT.N,44935428555.24,13.206244253,44958000000.0
CAT.N,35952736685.2,9.789042842,44958000000.0
CAT.N,26870195053.47,7.355350536,44958000000.0
CAT.N,16823802680.76,4.942103505,51324000000.0
CAT.N,20527538627.68,8.206412129,51324000000.0
CAT.N,31964605500.8099,17.796098934,51324000000.0
CAT.N,35602947755.81,26.745572127,51324000000.0
CAT.N,39453798012.9,44.580159169,32396000000.0
CAT.N,37872477608.63,30.680518101,32396000000.0
CAT.N,49938416382.68,32.087044468,32396000000.0
CAT.N,59832135393.24,30.892233404,32396000000.0
CAT.N,71759732427.0,26.910110323,42588000000.0
CAT.N,68780220640.12,18.949298257,42588000000.0
CAT.N,47746448046.96,12.211639757,42588000000.0
CAT.N,58583805431.3999,13.843833611,42588000000.0
CAT.N,68975251802.88,14.394516786,60138000000.0
CAT.N,55403775000.0,10.715385431,60138000000.0
CAT.N,56207238603.84,9.623967303,60138000000.0
CAT.N,58697912884.9905,9.173942332,60138000000.0
CAT.N,56969567436.21,10.24871729,65875000000.0
CAT.N,54235933195.5399,11.102616767,65875000000.0
CAT.N,53072089649.4,13.152375155,65875000000.0
CAT.N,57920646877.02,17.29236687,65875000000.0
CAT.N,62030122742.37,17.275880354,55656000000.0
CAT.N,68228090239.34,18.469199589,55656000000.0
CAT.N,59952650492.22,16.50411978,55656000000.0
CAT.N,55482425145.27,14.805576719,55656000000.0
CAT.N,48309602349.89,13.642678759,55184000000.0
CAT.N,51115292297.2599,13.13828815,55184000000.0
CAT.N,38054801233.36,10.534968811,55184000000.0
CAT.N,39574595644.3999,12.331789743,55184000000.0
CAT.N,44689313818.84,18.559875847,47011000000.0
CAT.N,44290565831.61,29.693546618,47011000000.0
CAT.N,51936893370.45,40.82787168,47011000000.0
CAT.N,54259631532.8999,54.09378044,47011000000.0
CAT.N,54644016970.08,,38537000000.0
CAT.N,63505936228.32,,38537000000.0
CAT.N,74194167011.22,822.24566493,38537000000.0
CAT.N,93749633851.56,109.705581353,38537000000.0
CAT.N,88078086277.36,28.162931483,45462000000.0
CAT.N,81123844753.2199,17.739417412,45462000000.0
CAT.N,90628678416.12,16.709090451,45462000000.0
CAT.N,73134215717.66,12.725133315,45462000000.0
CAT.N,77980285571.62,13.466745121,54722000000.0
CAT.N,77940916937.73,13.277310597,54722000000.0
CAT.N,69806280861.97,12.303253627,54722000000.0
CAT.N,81236199844.8,14.331950409,54722000000.0
CAT.N,62888053104.36,11.157349005,53800000000.0
CAT.N,68500581737.5,13.401105141,53800000000.0
CAT.N,81026972909.45,20.00957884,53800000000.0
CAT.N,99256206230.94,30.264385227,53800000000.0
CAT.N,127009929701.1,43.620663707,41748000000.0
CAT.N,119146215363.209,35.625246568,41748000000.0
CAT.N,103844558952.0,24.52648188,41748000000.0
CAT.N,110789495663.74,22.450776938,41748000000.0
CAT.N,118841761138.099,18.925906799,50971000000.0
CAT.N,94369038402.68,15.080383438,50971000000.0
CAT.N,85388766968.4,13.203657239,50971000000.0
CAT.N,124669265083.8,17.497332234,50971000000.0
CAT.N,118063146759.24,18.102196248,59427000000.0
CAT.N,125520709016.85,18.189385472,59427000000.0
CAT.N,139269065481.0,16.989720285726,59427000000.0
CAT.N,150521085962.81,16.7511580264148,59427000000.0
CAT.N,182986812679.67,18.1938971026704,67060000000.0
CAT.N,162903497339.9,15.0403710469922,67060000000.0
CAT.N,188833709106.56,17.8184434009756,67060000000.0
DE,18440213203.2,13.420736481,19204200000.0
DE,16547885013.4499,11.73150187,19204200000.0
DE,15862403891.1599,10.472468394,19204200000.0
DE,14761023778.8,9.940519311,19204200000.0
DE,16097672768.94,12.031698252,21190800000.0
DE,18542856522.0,13.764391233,21190800000.0
DE,19642782385.71,15.167039076,21190800000.0
DE,19399771484.52,14.456971944,21190800000.0
DE,21631483116.69,15.616735384,22147800000.0
DE,24645389118.56,17.557582536,22147800000.0
DE,27164496923.3999,17.966780652,22147800000.0
DE,32931142110.46,20.306304778,22147800000.0
DE,41322570453.12,23.295258394,24082200000.0
DE,35074731174.4799,18.668121004,24082200000.0
DE,31084328216.2699,15.367047239,24082200000.0
DE,21136794772.5,10.240729554,24082200000.0
DE,16133963139.12,8.154145698,28437600000.0
