Instrument,Company Market Cap
6305.F,2676171207.97284
6305.F,2705055478.5881
6305.F,2338832809.33213
6305.F,3745999316.76799
6305.F,4571106296.64179
6305.F,5165297618.56195
6305.F,4720433275.27746
6305.F,4380452740.28941
6305.F,5272378132.93001
6305.F,5311115394.97368
6305.F,6832333222.51096
6305.F,8601603139.82054
6305.F,6402802108.39626
6305.F,5377337138.66346
6305.F,6032305005.65557
6305.F,5122752720.45647
6305.F,2473298731.10323
6305.F,2761847260.44111
6305.F,3517871299.44969
6305.F,4618681651.54317
6305.F,5618676365.67164
6305.F,5084411715.62165
6305.F,4030212726.86955
6305.F,4652877694.30796
6305.F,5133846749.42359
6305.F,5388871006.06133
6305.F,4792801517.28763
6305.F,3663433668.95119
6305.F,3623460998.80426
6305.F,4757526688.94794
6305.F,4001889386.8873
6305.F,3487680269.49935
6305.F,4481875922.52063
6305.F,4631630715.19269
6305.F,4351348377.62308
6305.F,4807835336.62559
6305.F,4592803236.42415
6305.F,4144284286.69444
6305.F,4285312405.56762
6305.F,4332123348.26705
6305.F,4624271032.84781
6305.F,3764334081.55178
6305.F,3765259543.40762
6305.F,2866644823.81508
6305.F,3388566205.69341
6305.F,3417072565.2452
6305.F,3085572603.17675
6305.F,4243708289.37136
6305.F,4658647738.32463
6305.F,5359528016.25067
6305.F,5374525248.47352
6305.F,6378666770.96114
6305.F,7818372952.95997
6305.F,8310250621.0239
6305.F,6998139678.29387
6305.F,7190685647.43138
6305.F,5017920168.11173
6305.F,5700043906.58607
6305.F,5587248206.11791
6305.F,5185773403.57208
6305.F,6491391694.19437
6305.F,4379120414.60057
6305.F,5939981590.43736
6305.F,7751893261.26126
6305.F,6109208697.68343
6305.F,6888733601.71635
6305.F,6573497335.82358
6305.F,6138134678.26008
6305.F,6216387114.11437
6305.F,5649289383.61006
6305.F,4762548362.11596
6305.F,3976841738.7772
6305.F,4854895869.43787
6305.F,4981389727.01257
6305.F,6003903638.1929
6305.F,6547793523.58888
6305.F,5683636371.94101
6305.F,6424590950.51219
6305.F,5762081599.85077
6305.F,5198888016.27907
