Instrument,Company Market Cap
6326.T,6606507864.44228
6326.T,7161665285.42347
6326.T,7143500529.09747
6326.T,9122345365.05419
6326.T,11069493363.1275
6326.T,14030544438.2117
6326.T,12325072623.4379
6326.T,10669993269.0192
6326.T,12036432538.106
6326.T,11400618635.9313
6326.T,10491466460.9387
6326.T,10646881647.1818
6326.T,8689318696.2239
6326.T,7974992209.39785
6326.T,9248339469.69554
6326.T,7858866628.68999
6326.T,9030491361.54187
6326.T,6960408349.85835
6326.T,10641445192.1918
6326.T,10702859358.8857
6326.T,11821666699.1131
6326.T,11722695713.2463
6326.T,10009191037.9002
6326.T,11772825087.118
6326.T,12127444805.2489
6326.T,12124601769.3325
6326.T,11322860141.8281
6326.T,10499002650.8307
6326.T,10780060710.9435
6326.T,12348179104.9643
6326.T,11767845072.0822
6326.T,13040772172.0154
6326.T,14741498796.419
6326.T,17847848634.0375
6326.T,18354469054.0758
6326.T,18127950087.1601
6326.T,20779010499.4769
6326.T,16562163184.9985
6326.T,17722751653.307
6326.T,19755606798.1576
6326.T,18429901021.0949
6326.T,19743215946.8864
6326.T,19752914833.6191
6326.T,17007605715.0367
6326.T,19507074544.2775
6326.T,16993766169.7761
6326.T,16488396887.6513
6326.T,18594544349.4522
6326.T,17718895797.2961
6326.T,18620130631.8908
6326.T,20851611773.0307
6326.T,22572961223.6863
6326.T,24199667216.2243
6326.T,21623876248.7483
6326.T,19437566262.2266
6326.T,20962031752.5158
6326.T,17455446354.3352
6326.T,17786671555.1876
6326.T,20485487809.3993
6326.T,18462269616.7592
6326.T,19352522838.4714
6326.T,15681455526.3554
6326.T,18186504525.2779
6326.T,21731939576.7188
6326.T,26369162356.7509
6326.T,27506859652.1861
6326.T,24443493906.0486
6326.T,25948504404.5474
6326.T,26636800984.3646
6326.T,22720437993.901
6326.T,17924558733.0877
6326.T,16488965246.1761
6326.T,16505677974.0828
6326.T,17929231758.0691
6326.T,17322085433.4395
6326.T,17429483552.6213
6326.T,17705057285.0914
6326.T,18531900382.2686
6326.T,16461483575.8254
6326.T,16639815932.5024
