Instrument,Company Market Cap
CMI,3813876719.73
CMI,3262327394.54999
CMI,3468183923.7
CMI,4120149523.97999
CMI,4201625375.46
CMI,4882519188.9
CMI,5677008702.75
CMI,6266377071.5
CMI,6199759199.44
CMI,7552887450.48
CMI,10564230774.7799
CMI,13306623009.12
CMI,13007969485.4
CMI,9509946461.24
CMI,13280983148.16
CMI,8803995731.84
CMI,5380749000.0
CMI,5136231375.65
CMI,7105565035.52
CMI,9042896030.72
CMI,9254216890.8
CMI,12425897608.95
CMI,12946966959.4199
CMI,17917601086.14
CMI,21761043226.83
CMI,21512176185.78
CMI,20309205559.8099
CMI,15748260267.7799
CMI,16974796335.66
CMI,23069367866.88
CMI,18624816682.67
CMI,17557720484.76
CMI,20593650991.6499
CMI,21973571445.58
CMI,20579075887.92
CMI,24895082316.96
CMI,26412732401.76
CMI,27397266023.9
CMI,28375940935.8299
CMI,24111664687.8599
CMI,26338677815.19
CMI,25137068506.5599
CMI,23437106487.81
CMI,19286118365.2399
CMI,15632448676.78
CMI,18727838140.6
CMI,19155225890.52
CMI,21611367601.45
CMI,22998160103.7199
CMI,25397255116.8
CMI,27248936457.34
CMI,28165290762.24
CMI,29316504145.92
CMI,26757286031.07
CMI,21914795700.0
CMI,23854868298.6299
CMI,21457412532.92
CMI,24861322922.79
CMI,26984725884.48
CMI,24921629774.67
CMI,27417316434.96
CMI,19963229957.52
CMI,25586260768.46
CMI,31253069643.96
CMI,33533037326.3999
CMI,37971137103.48
CMI,35645650542.18
CMI,32248424298.72
CMI,31200967322.7199
CMI,28940573244.87
CMI,27286244270.19
CMI,28694910000.0
CMI,34162890000.0
CMI,33816278961.92
CMI,34726210145.64
CMI,32360703091.34
CMI,33957816828.91
CMI,40295944767.35
CMI,37878450783.75
CMI,44391609000.0
