Instrument,Company Market Cap
ETN,10991484000.0
ETN,9855780000.0
ETN,8829260000.0
ETN,9405400000.0
ETN,9929320000.0
ETN,10960094000.0
ETN,11310000000.0
ETN,10327500000.0
ETN,11195860000.0
ETN,12216472000.0
ETN,13624500000.0
ETN,14430128000.0
ETN,14135310000.0
ETN,11719457000.0
ETN,14122014000.0
ETN,9264082000.0
ETN,8197179000.0
ETN,6104016000.0
ETN,7387416000.0
ETN,9382622000.0
ETN,10548196000.0
ETN,12699052000.0
ETN,10980832000.0
ETN,13883067000.0
ETN,17084133000.0
ETN,18916128000.0
ETN,17549595000.0
ETN,11864100000.0
ETN,14547726000.0
ETN,16734434612.2799
ETN,13335495000.0
ETN,15958352000.0
ETN,25211037600.0
ETN,28948805672.5
ETN,31134711000.0
ETN,32664580000.0
ETN,36118940000.0
ETN,35809704000.0
ETN,36729962000.0
ETN,30075402000.0
ETN,32253815999.9999
ETN,31734774000.0
ETN,31551574999.9999
ETN,23741640000.0
ETN,24084112000.0
ETN,28652480000.0
ETN,27159231000.0
ETN,29681206999.9999
ETN,30304553000.0
ETN,33167295000.0
ETN,34813359000.0
ETN,34348167000.0
ETN,34811806000.0
ETN,35176382000.0
ETN,32683801999.9999
ETN,37580109000.0
ETN,29757244000.0
ETN,34175422119.84
ETN,35235768000.0
ETN,34374210000.0
ETN,39157248000.0
ETN,31076000000.0
ETN,35000748000.0
ETN,40669158000.0
ETN,47887804000.0
ETN,55104580000.0
ETN,59064548000.0
ETN,59514966000.0
ETN,68886052000.0
ETN,60552240000.0
ETN,50181817000.0
ETN,53037272000.0
ETN,62419014999.9999
ETN,68296124000.0
ETN,80238900000.0
ETN,85098720000.0
ETN,96159426000.0
ETN,125038256512.44
ETN,125357290000.0
ETN,130985088000.0
