Instrument,Company Market Cap
KOMT.F,6945678865.37342
KOMT.F,7516926999.34634
KOMT.F,7760998516.787
KOMT.F,13605236732.3993
KOMT.F,16524335660.2781
KOMT.F,19056437316.8451
KOMT.F,19856180516.4729
KOMT.F,17241583163.2394
KOMT.F,20266926349.8865
KOMT.F,21029761154.6951
KOMT.F,29036086850.7389
KOMT.F,33584389507.7968
KOMT.F,26976294468.2363
KOMT.F,27667842159.1022
KOMT.F,27865797130.738
KOMT.F,15777575219.2775
KOMT.F,12368141992.4678
KOMT.F,10811980414.8118
KOMT.F,15472185001.7651
KOMT.F,18717409570.1392
KOMT.F,20890882674.0212
KOMT.F,20945199631.9281
KOMT.F,18282247868.3108
KOMT.F,23194319811.6237
KOMT.F,30094605781.4569
KOMT.F,33932074197.2339
KOMT.F,30971981095.6284
KOMT.F,22025780866.3032
KOMT.F,23352489783.4676
KOMT.F,28013096791.1583
KOMT.F,23145526241.4441
KOMT.F,19397576503.4659
KOMT.F,24964033110.5685
KOMT.F,23474466023.357
KOMT.F,22743318060.7344
KOMT.F,24415586031.3613
KOMT.F,19980498008.7494
KOMT.F,20369536736.8931
KOMT.F,22826479481.9348
KOMT.F,22744526673.568
KOMT.F,22088746173.1123
KOMT.F,19116496809.4405
KOMT.F,19496485759.0007
KOMT.F,14213729340.3704
KOMT.F,16069047877.1682
KOMT.F,16544865285.7142
KOMT.F,16657595877.6755
KOMT.F,22013873282.3448
KOMT.F,22018348420.0393
KOMT.F,25320202599.1201
KOMT.F,24694986074.4993
KOMT.F,27663096644.9719
KOMT.F,35179587445.4601
KOMT.F,32444657350.0846
KOMT.F,27825714322.0675
KOMT.F,29557569508.7966
KOMT.F,20858545203.4282
KOMT.F,22547590657.0732
KOMT.F,23432113422.3211
KOMT.F,22275944329.5391
KOMT.F,23604258769.6123
KOMT.F,16086075677.0668
KOMT.F,19858068386.8143
KOMT.F,21312189465.1493
KOMT.F,26568875071.9685
KOMT.F,30047901884.2818
KOMT.F,24173323559.0009
KOMT.F,23569946355.7113
KOMT.F,22780881386.2332
KOMT.F,23540753652.8028
KOMT.F,21566511209.0179
KOMT.F,17559104512.8152
KOMT.F,21353404581.4964
KOMT.F,24022883482.2652
KOMT.F,26177681952.1202
KOMT.F,26361676174.4894
KOMT.F,25460184081.6673
KOMT.F,28465827587.4694
KOMT.F,28282468482.3726
KOMT.F,26891330726.3612
