Instrument,Company Market Cap
PH,9101775625.32
PH,7321823718.4
PH,7452828115.2
PH,7702130430.63
PH,7899743791.07999
PH,9698774006.16
PH,9336619065.59999
PH,9344392866.93
PH,9065750104.56
PH,9992215983.33
PH,11340636256.5
PH,12539220002.4499
PH,12689707813.09
PH,11618732950.65
PH,11962581695.4
PH,8541094743.0
PH,6834764480.88
PH,5454136222.21999
PH,6895517719.44
PH,8330244560.64
PH,8663873342.28
PH,10425446750.9399
PH,8931036095.26
PH,11302918518.8
PH,13970418412.3
PH,15354681660.0
PH,14553539630.0
PH,9537690248.28
PH,11519861895.0
PH,12758839180.4
PH,11612809413.6799
PH,12472886617.8
PH,12687403551.98
PH,13659915557.14
PH,14238570490.2
PH,16224917045.76
PH,19183934106.2399
PH,17829161719.67
PH,18725758107.21
PH,16967841931.95
PH,18369617511.4499
PH,16472021514.28
PH,16132263535.58
PH,13230856724.4
PH,13102247820.48
PH,14960418465.16
PH,14552333589.85
PH,16745510692.28
PH,18675786640.0
PH,21351956114.8799
PH,21285364435.3799
PH,23312674501.2
PH,26589256456.06
PH,22755292480.32
PH,20721727321.35
PH,24355282788.99
PH,19293549044.6999
PH,22201682225.1
PH,21809799663.93
PH,23202011273.1
PH,26419692624.54
PH,16633645118.22
PH,23498405463.78
PH,26061441370.96
PH,35163000157.65
PH,40708116731.35
PH,39634371268.95
PH,35935351157.86
PH,40871304928.08
PH,36426840990.08
PH,31585932568.4
PH,31113992678.61
PH,37366067721.0
PH,43121603851.55
PH,50040612794.2
PH,50057062118.64
PH,59188812116.7999
PH,71369468544.6599
PH,65017318151.9
PH,81328143978.06
