Instrument,Revenue
6305.F,3857615576.44351
6305.F,3857615576.44351
6305.F,4183798674.01251
6305.F,4183798674.01251
6305.F,4183798674.01251
6305.F,4183798674.01251
6305.F,5324298827.12902
6305.F,5324298827.12902
6305.F,5324298827.12902
6305.F,5324298827.12902
6305.F,6422592969.94396
6305.F,6422592969.94396
6305.F,6422592969.94396
6305.F,6422592969.94396
6305.F,9423274221.01994
6305.F,9423274221.01994
6305.F,9423274221.01994
6305.F,9423274221.01994
6305.F,7529006475.11129
6305.F,7529006475.11129
6305.F,7529006475.11129
6305.F,7529006475.11129
6305.F,6481789000.64199
6305.F,6481789000.64199
6305.F,6481789000.64199
6305.F,6481789000.64199
6305.F,9305700541.19062
6305.F,9305700541.19062
6305.F,9305700541.19062
6305.F,9305700541.19062
6305.F,9870068848.89479
6305.F,9870068848.89479
6305.F,9870068848.89479
6305.F,9870068848.89479
6305.F,8199968149.48508
6305.F,8199968149.48508
6305.F,8199968149.48508
6305.F,8199968149.48508
6305.F,7781645508.28569
6305.F,7781645508.28569
6305.F,7781645508.28569
6305.F,7781645508.28569
6305.F,6791475191.47519
6305.F,6791475191.47519
6305.F,6791475191.47519
6305.F,6791475191.47519
6305.F,6737126865.67164
6305.F,6737126865.67164
6305.F,6737126865.67164
6305.F,6737126865.67164
6305.F,6769141677.14132
6305.F,6769141677.14132
6305.F,6769141677.14132
6305.F,6769141677.14132
6305.F,9026472802.55976
6305.F,9026472802.55976
6305.F,9026472802.55976
6305.F,9026472802.55976
6305.F,9326082641.64561
6305.F,9326082641.64561
6305.F,9326082641.64561
6305.F,9326082641.64561
6305.F,8661275922.99823
6305.F,8661275922.99823
6305.F,8661275922.99823
6305.F,8661275922.99823
6305.F,7347163504.96838
6305.F,7347163504.96838
6305.F,7347163504.96838
6305.F,7347163504.96838
6305.F,8424798619.10242
6305.F,8424798619.10242
6305.F,8424798619.10242
6305.F,8424798619.10242
6305.F,9525770012.80217
6305.F,9525770012.80217
6305.F,9525770012.80217
6305.F,9525770012.80217
6305.F,9291705769.61205
6305.F,9291705769.61205
