Instrument,Revenue
6326.T,8918818338.76846
6326.T,8918818338.76846
6326.T,9181305444.01905
6326.T,9181305444.01905
6326.T,9181305444.01905
6326.T,9181305444.01905
6326.T,9057759646.43889
6326.T,9057759646.43889
6326.T,9057759646.43889
6326.T,9057759646.43889
6326.T,9572559008.3206
6326.T,9572559008.3206
6326.T,9572559008.3206
6326.T,9572559008.3206
6326.T,11567718665.4644
6326.T,11567718665.4644
6326.T,11567718665.4644
6326.T,11567718665.4644
6326.T,11204795629.2999
6326.T,11204795629.2999
6326.T,11204795629.2999
6326.T,11204795629.2999
6326.T,9957671731.22191
6326.T,9957671731.22191
6326.T,9957671731.22191
6326.T,9957671731.22191
6326.T,11228923631.9904
6326.T,11228923631.9904
6326.T,11228923631.9904
6326.T,11228923631.9904
6326.T,12175612996.7387
6326.T,12175612996.7387
6326.T,12175612996.7387
6326.T,12175612996.7387
6326.T,12396517677.0358
6326.T,12396517677.0358
6326.T,12396517677.0358
6326.T,12396517677.0358
6326.T,14619536776.8195
6326.T,14619536776.8195
6326.T,14619536776.8195
6326.T,14619536776.8195
6326.T,14619536776.8195
6326.T,14619536776.8195
6326.T,14619536776.8195
6326.T,10347256857.8554
6326.T,10347256857.8554
6326.T,10347256857.8554
6326.T,10347256857.8554
6326.T,13656977838.6241
6326.T,13656977838.6241
6326.T,13656977838.6241
6326.T,13656977838.6241
6326.T,15541297594.7457
6326.T,15541297594.7457
6326.T,15541297594.7457
6326.T,15541297594.7457
6326.T,16888608981.3801
6326.T,16888608981.3801
6326.T,16888608981.3801
6326.T,16888608981.3801
6326.T,17678316913.728
6326.T,17678316913.728
6326.T,17678316913.728
6326.T,17678316913.728
6326.T,17950736148.7795
6326.T,17950736148.7795
6326.T,17950736148.7795
6326.T,17950736148.7795
6326.T,19089033715.6761
6326.T,19089033715.6761
6326.T,19089033715.6761
6326.T,19089033715.6761
6326.T,20417817100.1449
6326.T,20417817100.1449
6326.T,20417817100.1449
6326.T,20417817100.1449
6326.T,21414369771.7283
6326.T,21414369771.7283
6326.T,21414369771.7283
