Instrument,Revenue
CMI,6296000000
CMI,8438000000
CMI,8438000000
CMI,8438000000
CMI,8438000000
CMI,9918000000
CMI,9918000000
CMI,9918000000
CMI,9918000000
CMI,11362000000
CMI,11362000000
CMI,11362000000
CMI,11362000000
CMI,13048000000
CMI,13048000000
CMI,13048000000
CMI,13048000000
CMI,14342000000
CMI,14342000000
CMI,14342000000
CMI,14342000000
CMI,10800000000
CMI,10800000000
CMI,10800000000
CMI,10800000000
CMI,13226000000
CMI,13226000000
CMI,13226000000
CMI,13226000000
CMI,18048000000
CMI,18048000000
CMI,18048000000
CMI,18048000000
CMI,17334000000
CMI,17334000000
CMI,17334000000
CMI,17334000000
CMI,17301000000
CMI,17301000000
CMI,17301000000
CMI,17301000000
CMI,19221000000
CMI,19221000000
CMI,19221000000
CMI,19221000000
CMI,19110000000
CMI,19110000000
CMI,19110000000
CMI,19110000000
CMI,17509000000
CMI,17509000000
CMI,17509000000
CMI,17509000000
CMI,20428000000
CMI,20428000000
CMI,20428000000
CMI,20428000000
CMI,23771000000
CMI,23771000000
CMI,23771000000
CMI,23771000000
CMI,23571000000
CMI,23571000000
CMI,23571000000
CMI,23571000000
CMI,19811000000
CMI,19811000000
CMI,19811000000
CMI,19811000000
CMI,24021000000
CMI,24021000000
CMI,24021000000
CMI,24021000000
CMI,28074000000
CMI,28074000000
CMI,28074000000
CMI,28074000000
CMI,34065000000
CMI,34065000000
CMI,34065000000
