Instrument,Revenue
ETN,8061000000
ETN,9712000000
ETN,9712000000
ETN,9712000000
ETN,9712000000
ETN,10874000000
ETN,10874000000
ETN,10874000000
ETN,10874000000
ETN,12232000000
ETN,12232000000
ETN,12232000000
ETN,12232000000
ETN,13033000000
ETN,13033000000
ETN,13033000000
ETN,13033000000
ETN,15376000000
ETN,15376000000
ETN,15376000000
ETN,15376000000
ETN,11873000000
ETN,11873000000
ETN,11873000000
ETN,11873000000
ETN,13715000000
ETN,13715000000
ETN,13715000000
ETN,13715000000
ETN,16049000000
ETN,16049000000
ETN,16049000000
ETN,16049000000
ETN,16311000000
ETN,16311000000
ETN,16311000000
ETN,16311000000
ETN,22046000000
ETN,22046000000
ETN,22046000000
ETN,22046000000
ETN,22552000000
ETN,22552000000
ETN,22552000000
ETN,22552000000
ETN,20855000000
ETN,20855000000
ETN,20855000000
ETN,20855000000
ETN,19747000000
ETN,19747000000
ETN,19747000000
ETN,19747000000
ETN,20404000000
ETN,20404000000
ETN,20404000000
ETN,20404000000
ETN,21609000000
ETN,21609000000
ETN,21609000000
ETN,21609000000
ETN,21390000000
ETN,21390000000
ETN,21390000000
ETN,21390000000
ETN,17858000000
ETN,17858000000
ETN,17858000000
ETN,17858000000
ETN,19628000000
ETN,19628000000
ETN,19628000000
ETN,19628000000
ETN,20752000000
ETN,20752000000
ETN,20752000000
ETN,20752000000
ETN,23196000000
ETN,23196000000
ETN,23196000000
