CAT.N,DE,SAND.ST,KOMT.F,6305.F,EMR,PH,ETN,CMI,PCAR.O,VOLVb.ST,6326.T
22807000000.0,19204200000.0,6784914997.42838,11475330903.5105,3857615576.44351,15615000000.0,6887596000.0,8061000000.0,6296000000.0,8194900000.0,25478669428.2656,8918818338.76846
30306000000.0,19204200000.0,8209314211.83969,11475330903.5105,3857615576.44351,15615000000.0,6887596000.0,9712000000.0,8438000000.0,11396300000.0,31730254652.5961,8918818338.76846
30306000000.0,19204200000.0,8209314211.83969,13397964329.069,4183798674.01251,15615000000.0,6887596000.0,9712000000.0,8438000000.0,11396300000.0,31730254652.5961,9181305444.01905
30306000000.0,19204200000.0,8209314211.83969,13397964329.069,4183798674.01251,15615000000.0,8068805000.0,9712000000.0,8438000000.0,11396300000.0,31730254652.5961,9181305444.01905
30306000000.0,21190800000.0,8209314211.83969,13397964329.069,4183798674.01251,17305000000.0,8068805000.0,9712000000.0,8438000000.0,11396300000.0,31730254652.5961,9181305444.01905
36339000000.0,21190800000.0,7979701312.11122,13397964329.069,4183798674.01251,17305000000.0,8068805000.0,10874000000.0,9918000000.0,14057400000.0,30291762157.8059,9181305444.01905
36339000000.0,21190800000.0,7979701312.11122,13701682814.8904,5324298827.12902,17305000000.0,8068805000.0,10874000000.0,9918000000.0,14057400000.0,30291762157.8059,9057759646.43889
36339000000.0,21190800000.0,7979701312.11122,13701682814.8904,5324298827.12902,17305000000.0,9385888000.0,10874000000.0,9918000000.0,14057400000.0,30291762157.8059,9057759646.43889
36339000000.0,22147800000.0,7979701312.11122,13701682814.8904,5324298827.12902,19734000000.0,9385888000.0,10874000000.0,9918000000.0,14057400000.0,30291762157.8059,9057759646.43889
41517000000.0,22147800000.0,10560384497.3924,13701682814.8904,5324298827.12902,19734000000.0,9385888000.0,12232000000.0,11362000000.0,16454100000.0,37812075438.6221,9057759646.43889
41517000000.0,22147800000.0,10560384497.3924,16075250466.9723,6422592969.94396,19734000000.0,9385888000.0,12232000000.0,11362000000.0,16454100000.0,37812075438.6221,9572559008.3206
41517000000.0,22147800000.0,10560384497.3924,16075250466.9723,6422592969.94396,19734000000.0,10718059000.0,12232000000.0,11362000000.0,16454100000.0,37812075438.6221,9572559008.3206
41517000000.0,24082200000.0,10560384497.3924,16075250466.9723,6422592969.94396,22131000000.0,10718059000.0,12232000000.0,11362000000.0,16454100000.0,37812075438.6221,9572559008.3206
44958000000.0,24082200000.0,13360465476.1536,16075250466.9723,6422592969.94396,22131000000.0,10718059000.0,13033000000.0,13048000000.0,15221700000.0,44165299743.1215,9572559008.3206
44958000000.0,24082200000.0,13360465476.1536,22472928564.2721,9423274221.01994,22131000000.0,10718059000.0,13033000000.0,13048000000.0,15221700000.0,44165299743.1215,11567718665.4644
44958000000.0,24082200000.0,13360465476.1536,22472928564.2721,9423274221.01994,22131000000.0,12145605000.0,13033000000.0,13048000000.0,15221700000.0,44165299743.1215,11567718665.4644
44958000000.0,28437600000.0,13360465476.1536,22472928564.2721,9423274221.01994,23751000000.0,12145605000.0,13033000000.0,13048000000.0,15221700000.0,44165299743.1215,11567718665.4644
51324000000.0,28437600000.0,11862748863.7091,22472928564.2721,9423274221.01994,23751000000.0,12145605000.0,15376000000.0,14342000000.0,14972500000.0,39004161065.2327,11567718665.4644
51324000000.0,28437600000.0,11862748863.7091,20454704573.0473,7529006475.11129,23751000000.0,12145605000.0,15376000000.0,14342000000.0,14972500000.0,39004161065.2327,11204795629.2999
51324000000.0,28437600000.0,11862748863.7091,20454704573.0473,7529006475.11129,23751000000.0,10309015000.0,15376000000.0,14342000000.0,14972500000.0,39004161065.2327,11204795629.2999
51324000000.0,23103400000.0,11862748863.7091,20454704573.0473,7529006475.11129,20102000000.0,10309015000.0,15376000000.0,14342000000.0,14972500000.0,39004161065.2327,11204795629.2999
32396000000.0,23103400000.0,10046786402.6145,20454704573.0473,7529006475.11129,20102000000.0,10309015000.0,11873000000.0,10800000000.0,8086500000.0,30496494511.3265,11204795629.2999
32396000000.0,23103400000.0,10046786402.6145,15317397817.248,6481789000.64199,20102000000.0,10309015000.0,11873000000.0,10800000000.0,8086500000.0,30496494511.3265,9957671731.22191
32396000000.0,23103400000.0,10046786402.6145,15317397817.248,6481789000.64199,20102000000.0,9993166000.0,11873000000.0,10800000000.0,8086500000.0,30496494511.3265,9957671731.22191
32396000000.0,25994600000.0,10046786402.6145,15317397817.248,6481789000.64199,21039000000.0,9993166000.0,11873000000.0,10800000000.0,8086500000.0,30496494511.3265,9957671731.22191
42588000000.0,25994600000.0,12318399952.3086,15317397817.248,6481789000.64199,21039000000.0,9993166000.0,13715000000.0,13226000000.0,10292900000.0,39457062803.6603,9957671731.22191
42588000000.0,25994600000.0,12318399952.3086,22166289837.6428,9305700541.19062,21039000000.0,9993166000.0,13715000000.0,13226000000.0,10292900000.0,39457062803.6603,11228923631.9904
42588000000.0,25994600000.0,12318399952.3086,22166289837.6428,9305700541.19062,21039000000.0,12345870000.0,13715000000.0,13226000000.0,10292900000.0,39457062803.6603,11228923631.9904
42588000000.0,32001500000.0,12318399952.3086,22166289837.6428,9305700541.19062,24222000000.0,12345870000.0,13715000000.0,13226000000.0,10292900000.0,39457062803.6603,11228923631.9904
60138000000.0,32001500000.0,13659513923.1685,22166289837.6428,9305700541.19062,24222000000.0,12345870000.0,16049000000.0,18048000000.0,16355200000.0,45060396643.3404,11228923631.9904
