Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Caterpillar Inc,63893.0,56477.0,48166.0,38986.0,50854.0,51836.0,42501.0,35749.0,44055.0,52030.0,50492.0,61604.0,55410.0,37776.0,27753.0,,
Volvo,,44372.3,40924.1,34483.5,43331.3,43108.3,37291.7,33536.0,35347.1,39476.7,39332.7,41356.0,44643.1,34832.2,26477.5,44284.5,39984.0
Deere & Co,55565.0,47917.0,39737.0,30272.0,34886.0,33351.0,25885.0,23387.0,25775.0,32961.0,34998.0,33501.0,29466.0,23573.0,20756.0,4818.0,5035.0
CNH Industrial N.V,22080.0,21541.0,17802.0,26043.0,28283.0,30207.0,28044.0,25664.0,26669.0,33902.0,35711.0,18427.0,35510.0,,,,
Komatsu Ltd,24873.0,24311.6,22788.1,18500.3,20292.3,22249.8,20464.5,14489.4,13234.9,16003.0,17471.9,20296.2,22044.2,18905.6,13678.8,17433.0,17987.9
Hyundai Heavy Industries,17815.3,14927.1,14450.9,13954.2,14161.6,12753.7,14242.0,19841.2,28269.0,27090.1,18848.9,19465.8,20776.5,16633.3,,,
Kubota Corp,18802.8,17802.6,16988.5,14137.3,14295.9,13838.5,12812.2,13692.8,,12755.8,13013.5,12128.0,10239.0,8452.6,7249.1,8368.5,7991.9
Atlas Copco AB,16284.8,14013.8,12931.5,10878.3,10977.4,10955.9,10039.3,8906.5,7171.6,7802.2,6641.3,6526.1,6085.6,5029.5,4959.1,6540.4,5705.0
Sandvik AB,,,1562.9,1482.4,1616.5,1693.3,1556.7,1512.8,2664.3,3427.6,3475.6,3700.6,3445.8,7358.2,6309.3,9220.9,8232.2
Sany Heavy Industries Co,,,,,,,,,,,,,6940.1,4483.1,2473.1,1709.5,1098.8
AGCO Corp,,,11138.3,9149.7,9041.4,9352.1,8306.5,7410.5,7467.3,9723.7,10786.9,9962.2,,,,,
Hitachi Construction machinery Co,9737.0,9356.5,9127.9,7672.2,8567.3,9324.2,8657.2,6974.4,6321.9,7458.1,8018.1,9167.8,9502.5,8342.1,5953.9,6598.6,7505.6
XCMG Construction Machinery Co,5423.6,6161.1,7474.1,8617.3,6960.1,5644.2,3609.8,2072.6,2249.0,3358.9,4207.7,4777.8,4879.3,3601.7,2726.3,2139.0,422.7
Oshkosh Corp,4990.0,3972.1,5465.7,4561.5,6368.0,5901.2,5027.6,4944.9,1765.7,1577.5,4618.1,4193.6,3207.6,2691.1,2667.2,5054.2,4895.2
Zoomlion Heavy Industries,5151.9,4897.7,8620.2,8200.8,5448.7,3648.3,2829.6,2622.0,2843.4,3851.0,5767.2,7113.4,6669.2,4355.5,2750.4,1839.1,1152.8
Liebherr,9552.1,8399.9,8817.5,7274.0,5350.0,8070.6,6965.9,5976.9,6242.6,7033.0,7578.9,7546.6,7500.3,6293.7,5701.7,,
